term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,instructors,cap,act,rem
Fall2014,72899,BI 0372L,A,0.000,Environmental Toxicology Lab,"[{'days': 'T', 'times': '0200pm-0450pm', 'dates': '09/02-12/08', 'location': 'BNW 269'}]",['T 0200pm-0450pm 09/02-12/08 BNW 269'],James E.  Biardi,James E.  Biardi (P),16,14,2
Fall2014,70898,BI 0391,A,3.000,Biology Research I,[],[],Tod   Osier,Tod   Osier (P),0,12,-12
Fall2014,73295,BI 0391,B,1.000,Biology Research I,[],[],Tod   Osier,Tod   Osier (P),0,1,-1
Fall2014,70899,BI 0392,A,3.000,Biology Research II,[],[],Tod   Osier,Tod   Osier (P),0,4,-4
Fall2014,73124,BI 0392,B,2.000,Biology Research II,[],[],Tod   Osier,Tod   Osier (P),0,4,-4
Fall2014,70900,BI 0393,A,3.000,Biology Research III,[],[],Tod   Osier,Tod   Osier (P),0,2,-2
Fall2014,70901,BI 0394,A,3.000,Biology Research IV,[],[],Tod   Osier,Tod   Osier (P),0,1,-1
Fall2014,70007,BI 0397,A,3.000,Internship-201409,[],[],Anita G.  Fernandez,Anita G.  Fernandez (P),0,5,-5
Fall2014,72697,BI 0397,B,1.000,Internships 201409,[],[],Anita G.  Fernandez,Anita G.  Fernandez (P),0,1,-1
Fall2014,71162,BU 0211,A,3.000,Legal Environment of Business,"[{'days': 'R', 'times': '0500pm-0730pm', 'dates': '09/02-12/08', 'location': 'DSB 110B'}]",['R 0500pm-0730pm 09/02-12/08 DSB 110B'],Jennifer M. F.  Hillgen-Santa,Jennifer M. F.  Hillgen-Santa (P),25,19,6
Fall2014,70480,BU 0211,B,3.000,Legal Environment of Business,"[{'days': 'W', 'times': '0630pm-0900pm', 'dates': '09/02-12/08', 'location': 'DSB 112'}]",['W 0630pm-0900pm 09/02-12/08 DSB 112'],Sharlene A.  McEvoy,Sharlene A.  McEvoy (P),20,19,1
Fall2014,71221,BU 0211,BBB,3.000,Legal Environment of Business,"[{'days': 'W', 'times': '0630pm-0900pm', 'dates': '09/02-12/08', 'location': 'DSB 112'}]",['W 0630pm-0900pm 09/02-12/08 DSB 112'],Sharlene A.  McEvoy,Sharlene A.  McEvoy (P),5,2,3
Fall2014,70351,BU 0211,C,3.000,Legal Environment of Business,"[{'days': 'W', 'times': '0200pm-0430pm', 'dates': '09/02-12/08', 'location': 'DSB 111'}]",['W 0200pm-0430pm 09/02-12/08 DSB 111'],Sharlene A.  McEvoy,Sharlene A.  McEvoy (P),25,25,0
